id;filename;description
;APC_0484.jpg;This is what museums look like
0001;APC_0485.jpg;The museum of raised bars.
0002;APC_0486.jpg;The museum of managed expectations.
0003;APC_0487.jpg;Le musée des sciences exactes.
0004;APC_0489.jpg;The museum of moving parts.
0005;APC_0490.jpg;The museum of receiving ends.
0006;APC_0491.jpg;Le musée des planètes alignées.
0007;APC_0492.jpg;Le musée de la gravité.
0008;APC_0493.jpg;The museum of commonalities.
0009;APC_0494.jpg;The museum of warm welcome.
0010;APC_0495.jpg;Le musée des bases solides.
0011;APC_0496.jpg;Le musée de l’inclassable.
0012;APC_0497.jpg;Le musée des danses immobiles.
0013;APC_0498.jpg;Deux musées décentrés.
0014;APC_0499.jpg;The museum of lowered expectations.
0015;APC_0500.jpg;Le musée de la solidarité.
0016;APC_0501.jpg;Le musée de la fréquence.
0017;APC_0502.jpg;The museum of death traps.
0018;APC_0503.jpg;Le musée du libéralisme.
0019;APC_0504.jpg;Le musée à la mode.
0020;APC_0505.jpg;The museum of vain attempts.
0021;APC_0506.jpg;Le musée de l’intransigeance.
0022;APC_0507.jpg;Le musée de l’écologie libérale.
0023;APC_0508.jpg;Un musée à ciel ouvert.
0024;APC_0509.jpg;Le musée des bases solides.
0025;APC_0510.jpg;Un musée à son compte.
0026;APC_0511.jpg;Un musée sans issue
0027;APC_0512.jpg;Le musée des angles morts
0028;APC_0513.jpg;The museum of sustained pains.
0029;APC_0514.jpg;The museum of memory loops.
0030;APC_0516.jpg;A museum, even without trying.
0031;APC_0517.jpg;Le musée des enfants dans des ventres.
0032;APC_0518.jpg;Le musée de l’éternel recommencement.
0033;APC_0519.jpg;Le musée des masouages.
0034;APC_0520.jpg;2 loosely connected museums.
0035;APC_0521.jpg;The museum of realistic expectations.
0036;APC_0522.jpg;Le musée dur Elvis Presley.
0037;APC_0523.jpg;Le musée des soleils qui vont se coucher
0038;APC_0524.jpg;Le musée du quotidien.
0039;APC_0525.jpg;Le musée du chichi.
0040;APC_0526.jpg;The museum of half ideas.
0041;APC_0527.jpg;Un musée pas là par hasard.
0042;APC_0528.jpg;The museum of loud visions.
0043;APC_0529.jpg;Le musée du mimétisme.
0044;APC_0530.jpg;The museum of bright noise.
0045;APC_0531.jpg;The museum of pulled triggers.
0046;APC_0532.jpg;Le musée des catharsis.
0047;APC_0533.jpg;Le musée des petits monticules.
0048;APC_0534.jpg;Le musée de ce qui tient debout.
0049;APC_0535.jpg;Le musée qui est aussi le raz des pâquerettes.
0050;APC_0536.jpg;Le musée des étaux qui se resserrent.
0051;APC_0537.jpg;The museum of inflection points.
0052;APC_0538.jpg;The museum of cut corners.
0053;APC_0539.jpg;Le musée du laisser faire\nLe musée du laissez faire
0054;APC_0540.jpg;A museum that is better than its opposite.
0055;APC_0541.jpg;Le musée des acts théorisés.
0056;APC_0542.jpg;Le musée des humains libres.
0057;APC_0543.jpg;An unscalable museum.
0058;APC_0544.jpg;Le musée des états de faits.
0059;APC_0545.jpg;Un musée identique à lui même.
0060;APC_0546.jpg;The museum of north stars.
0061;APC_0547.jpg;Le musée qui prends plus qu’il ne rapporte.
0062;APC_0548.jpg;Le musée des mots machés.
0063;APC_0549.jpg;The museum of what remains to be seen.
0064;APC_0550.jpg;Le musée du conformisme.
0065;APC_0551.jpg;Le musée des retours de bâton.
0066;APC_0552.jpg;Le musée des fleurons.
0067;APC_0553.jpg;The museum of peace.\nThe museum of mind.
0068;APC_0554.jpg;The museum of ignorance.
0069;APC_0555.jpg;The museum of awareness.
0070;APC_0556.jpg;The museum of empty wells.
0071;APC_0557.jpg;The museum of degrees of freedom.
0072;APC_0558.jpg;Le musée qui accouche de lui même.
0073;APC_0559.jpg;The museum of what is safe to believe.
0074;APC_0560.jpg;Le musée des pupilles dilatées.
0075;APC_0561.jpg;A museum that is also a waste of air.
